GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Homework_MTS_2,main.java.ru.mts.homework.animal,Eagle,11,0,0,0,5,0,3,0,3,0
Homework_MTS_2,main.java.ru.mts.homework.animal,Tiger,11,0,0,0,5,0,3,0,3,0
Homework_MTS_2,main.java.ru.mts.homework.animal,Dolphin,11,0,0,0,5,0,3,0,3,0
Homework_MTS_2,main.java.ru.mts.homework.animal,Camel,11,0,0,0,5,0,3,0,3,0
Homework_MTS_2,main.java.ru.mts.homework.animal,Horse,11,0,0,0,5,0,3,0,3,0
Homework_MTS_2,ru.mts.homework,Main,162,0,22,0,34,0,13,0,2,0
Homework_MTS_2,ru.mts.homework.main,Main,162,0,22,0,34,0,13,0,2,0
Homework_MTS_2,ru.mts.homework.exceptions,SizeException,4,0,0,0,2,0,1,0,1,0
Homework_MTS_2,ru.mts.homework.sort,BasicSort,3,4,0,0,1,2,1,1,1,1
Homework_MTS_2,ru.mts.homework.sort,BubbleSort,3,41,0,6,1,7,1,4,1,1
